variable-wise	1	1059.19922113	924.829334974	1018.12467504	886.215912819	972.326048136
variable-wise	2	796.651032925	767.27224493	691.989495993	702.515975952	665.512471914
variable-wise	4	807.434491158	654.076292992	724.502439976	705.828791857	654.721371174
variable-wise	8	777.069000006	671.335334778	688.809001923	687.635795832	726.707017899
variable-wise	11	768.16001296	760.835227966	762.408486128	702.484519005	724.13380909
hybrid	1	1059.19922113	924.829334974	1018.12467504	886.215912819	972.326048136
hybrid	2	796.651032925	767.27224493	691.989495993	702.515975952	665.512471914
hybrid	4	807.434491158	654.076292992	724.502439976	705.828791857	654.721371174
hybrid	8	777.069000006	671.335334778	688.809001923	687.635795832	726.707017899
hybrid	11	768.16001296	760.835227966	762.408486128	702.484519005	724.13380909
hybrid	16	826.91473794	658.978976965	656.129640102	678.940442085	664.293716908
hybrid	22	368.782860041	392.729002953	391.437413931	363.699767828	362.230097771
Set-wise	1	1059.19922113	924.829334974	1018.12467504	886.215912819	972.326048136
Set-wise	2	559.124351978	608.795121908	600.71447897	519.28090477	548.450785875
Set-wise	4	313.169533968	291.591108084	301.072515011	299.130087852	300.842631102
Set-wise	8	224.429404974	201.685818911	200.787017822	194.767714977	186.848550081
Set-wise	11	168.845122099	162.825456142	156.690019131	149.135495186	141.347867966
Set-wise	16	164.429352999	121.508144855	120.513206005	119.040478945	122.040182829
Set-wise	22	108.298873901	117.424582005	107.917880058	106.933655977	107.161339045

