variable-wise	1	173781.762281	174724.432134	169985.433562	173732.193088	172723.910712
variable-wise	2	88817.329494	86449.1876571	81411.4299128	83696.5229301	80527.8460951
variable-wise	4	48916.3108101	48989.638021	51162.513397	50060.2542138	50001.1517589
variable-wise	8	26974.3867638	28166.877475	28743.147557	28471.0169342	26330.51179
variable-wise	16	18407.6075392	18719.2487769	18363.7027171	18161.4150209	17439.2379069
variable-wise	20	9290.59843802	10922.1753359	10348.3809571	10508.1165531	9438.12173414
variable-wise	32	9290.59843802	10922.1753359	10348.3809571	10508.1165531	9438.12173414
variable-wise	40	9290.59843802	10922.1753359	10348.3809571	10508.1165531	9438.12173414
variable-wise	52	9290.59843802	10922.1753359	10348.3809571	10508.1165531	9438.12173414
variable-wise	64	9290.59843802	10922.1753359	10348.3809571	10508.1165531	9438.12173414
hybrid	1	173781.762281	174724.432134	169985.433562	173732.193088	172723.910712
hybrid	2	88817.329494	86449.1876571	81411.4299128	83696.5229301	80527.8460951
hybrid	4	48916.3108101	48989.638021	51162.513397	50060.2542138	50001.1517589
hybrid	8	26974.3867638	28166.877475	28743.147557	28471.0169342	26330.51179
hybrid	16	18407.6075392	18719.2487769	18363.7027171	18161.4150209	17439.2379069
hybrid	20	9290.59843802	10922.1753359	10348.3809571	10508.1165531	9438.12173414
hybrid	32	10079.7899971	9533.47228312	9814.0116291	9741.94641709	9907.28142715
hybrid	40	4962.55911684	4998.69917107	4978.41907001	5153.79674101	5127.61480808
hybrid	52	4924.55964398	5071.6327889	5021.15085697	4906.06256199	4992.19489908
hybrid	64	4145.43156385	3919.81556702	3987.42417502	3953.30223799	3955.80252504
set-wise	1	173781.762281	174724.432134	169985.433562	173732.193088	172723.910712
set-wise	2	85219.7109759	81205.025877	77703.783978	76786.3834441	75980.3693452
set-wise	4	43773.115185	46453.1710649	47033.7427139	46222.776695	47195.8016369
set-wise	8	28344.8420939	28963.452292	29100.161077	25172.721436	26170.929023
set-wise	16	15243.1667509	15515.831367	15350.944921	13245.614362	14009.1929278
set-wise	20	11326.266547	12656.397619	12723.524935	12078.3366821	11296.1160409
set-wise	32	8710.74047089	8790.99971104	8603.25444007	8672.54982495	8874.094136
set-wise	40	6492.46375084	6465.32050109	6494.10569	6531.78716397	7048.09240603
set-wise	52	5661.73403692	5728.05719304	5619.56035709	5759.23117185	5726.61725307
set-wise	64	5259.69382095	5353.05236292	5296.35328197	5288.40256381	5373.15907192

