variable-wise	1	22732.321218	26366.0706658	27130.5621459	25527.130326	28302.718457
variable-wise	2	13560.3438928	11942.7861269	14593.4228501	14904.0113471	14365.6247909
variable-wise	4	9835.92882204	8293.419245	8286.07672596	8201.79171896	9516.18992519
variable-wise	8	4722.71506095	5366.59587097	5598.35483718	5458.37202001	5374.33937287
variable-wise	11	3508.10858488	3278.56680202	3297.72089696	3398.45580006	3465.54196906
hybrid	1	22732.321218	26366.0706658	27130.5621459	25527.130326	28302.718457
hybrid	2	13560.3438928	11942.7861269	14593.4228501	14904.0113471	14365.6247909
hybrid	4	9835.92882204	8293.419245	8286.07672596	8201.79171896	9516.18992519
hybrid	8	4722.71506095	5366.59587097	5598.35483718	5458.37202001	5374.33937287
hybrid	11	3508.10858488	3278.56680202	3297.72089696	3398.45580006	3465.54196906
hybrid	16	2945.83438015	2811.6326139	2762.93824506	2892.84519601	2800.53226995
hybrid	22	2705.02261496	2499.43404007	2239.45312691	2240.92312789	2238.67060304
hybrid	33	2460.6825242	2199.93122482	1976.15505409	1922.21106601	1980.02119994
hybrid	44	1167.816962	1194.57627201	1170.65880179	1163.03412795	1175.24110198
hybrid	64	878.322433949	878.610989094	869.66415	862.720281839	875.341135025
set-wise	1	22732.321218	26366.0706658	27130.5621459	25527.130326	28302.718457
set-wise	2	13133.7386289	11946.696183	14793.4615948	14150.9927711	14072.4952979
set-wise	4	7890.31491089	7240.40573692	7393.01148796	7002.62723804	7852.60110593
set-wise	8	4649.85051394	4957.24033999	5026.10489607	4805.48736906	4921.75238299
set-wise	11	3779.74250102	3384.92565894	3375.28187609	3399.65076303	3447.75688696
set-wise	16	2924.29898405	2862.69337201	2859.68263602	2858.48018003	2873.0388391
set-wise	22	2130.89251399	1853.94668102	1870.09858489	1864.48271799	1873.46637583
set-wise	33	1766.671489	1343.8528409	1340.20210004	1347.89399505	1344.75799012
set-wise	44	1222.27792382	1231.96936202	1230.04058814	1244.41814184	1230.84360886
set-wise	64	1109.66866207	1100.93173409	1105.88931513	1101.32106209	1101.91727996

