variable-wise	1	3960.37785983	3598.35511237	3660.6536774	3542.24623451	3758.66352367
variable-wise	2	2269.11094904	2700.42228389	2401.71228695	2403.43469191	2700.69077516
variable-wise	4	2480.78410101	2372.02239799	2736.05783987	2321.59188795	2675.45614314
variable-wise	8	2440.16348195	2385.21869206	2384.506464	2297.03636599	2422.39850402
variable-wise	11	2540.16012716	2231.8102839	2813.36344695	2276.17151403	2211.85250902
hybrid	1	3960.37785983	3598.35511237	3660.6536774	3542.24623451	3758.66352367
hybrid	2	2269.11094904	2700.42228389	2401.71228695	2403.43469191	2700.69077516
hybrid	4	2480.78410101	2372.02239799	2736.05783987	2321.59188795	2675.45614314
hybrid	8	2440.16348195	2385.21869206	2384.506464	2297.03636599	2422.39850402
hybrid	11	2540.16012716	2231.8102839	2813.36344695	2276.17151403	2211.85250902
hybrid	16	1347.06188297	1278.95868802	1241.44421601	1252.7622478	1309.6265368
hybrid	22	1429.58486295	1388.06905699	1330.31526399	1275.69634795	1300.06761789
hybrid	32	783.696957111	778.669827938	821.561544895	895.776870966	903.004894972
hybrid	64	502.309494972	505.731611967	432.353739023	430.242015123	430.56317997
set-wise	1	3960.37785983	3598.35511237	3660.6536774	3542.24623451	3758.66352367
set-wise	2	1762.03512287	1862.34330106	1903.97849798	1816.16065502	1756.12899899
set-wise	4	1083.00974607	1068.95568514	1050.69618416	1050.57467985	1006.520257
set-wise	8	649.941644907	643.534939051	618.620420933	642.919317007	620.81559515
set-wise	11	553.492624998	522.681254864	542.646366119	501.645255089	535.170850992
set-wise	16	426.815244913	455.42634511	426.700035095	432.828720093	439.314630985
set-wise	22	379.843620062	376.464866877	375.441612959	388.695086002	369.774466991
set-wise	32	256.140269041	290.31490612	299.699953079	292.741943836	301.399065018
set-wise	64	211.818960905	215.648339033	233.984231949	243.500047922	225.94591403

