variable-wise	1	2423.70851207	2376.94251895	2490.49815607	2413.640872	2149.03969002
variable-wise	2	1061.3133812	1105.45299292	1106.17430091	1111.30956411	1164.65261292
variable-wise	4	640.529969931	645.029465914	654.596280813	642.280614138	652.568322182
hybrid	1	2423.70851207	2376.94251895	2490.49815607	2413.640872	2149.03969002
hybrid	2	1061.3133812	1105.45299292	1106.17430091	1111.30956411	1164.65261292
hybrid	4	640.529969931	645.029465914	654.596280813	642.280614138	652.568322182
hybrid	8	363.485475063	369.564004898	376.866648912	334.251665831	332.905822992
hybrid	16	218.207713127	232.150189877	233.415534973	232.150189877	215.939306974
hybrid	32	120.536222935	118.598387003	118.882405043	119.248566151	119.591883183
hybrid	64	90.7519979477	90.5270140171	91.1322820187	90.7962219715	89.755371809
set-wise	1	2423.70851207	2376.94251895	2490.49815607	2413.640872	2149.03969002
set-wise	2	1149.41207314	1189.69015694	1158.52674913	1198.82226181	1168.69169307
set-wise	4	703.994834185	719.423212051	720.877996922	723.156939983	727.199148893
set-wise	8	514.358972073	517.515661955	513.019616127	506.532891035	482.18411994
set-wise	16	346.986773014	396.360134125	397.606482029	380.718884945	381.211141109
set-wise	32	294.620410919	295.98347187	298.566953897	293.414335966	302.329036951
set-wise	64	301.358445883	301.399452925	294.204353809	295.903116941	304.468510151

